x,y,ID,COOLING_DEGREE_DAYS,TOTAL_SNOW,CLIMATE_IDENTIFIER,LOCAL_YEAR,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND,TOTAL_RAIN,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,MIN_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_DAY,MAX_REL_HUMIDITY,MIN_TEMPERATURE_FLAG,LOCAL_DATE,STATION_NAME,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS,LOCAL_MONTH,PROVINCE_CODE,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW_FLAG,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE
-113.57944444444445,53.31,3012216.2015.1.25,0,0,3012216,2015,0.2,,37,,7,0.2,,7.9,0.4,,,25,,,2015-01-25 00:00:00,EDMONTON INTL A,19,13.8,1,AB,,,,,,,,,4.2
-113.57944444444445,53.31,3012216.2015.1.26,0,0,3012216,2015,0,,0,,7,0,,3.5,-4.5,,,26,,,2015-01-26 00:00:00,EDMONTON INTL A,0,18.5,1,AB,,,,,,,,,-0.5
-113.57944444444445,53.31,3012216.2015.1.27,0,0.4,3012216,2015,1.2,,0,,7,0.8,,2.3,-2.8,,,27,,,2015-01-27 00:00:00,EDMONTON INTL A,0,18.3,1,AB,,,,,,,,,-0.3
-113.57944444444445,53.31,3012216.2015.1.28,0,0.2,3012216,2015,0,,0,T,7,0,,0,-6.3,,,28,,,2015-01-28 00:00:00,EDMONTON INTL A,0,21.2,1,AB,,,,,,,,,-3.2
-113.57944444444445,53.31,3012216.2015.1.29,0,0,3012216,2015,0,,0,T,6,0,,-2.9,-8.3,,,29,,,2015-01-29 00:00:00,EDMONTON INTL A,0,23.6,1,AB,,,,,,T,,,-5.6
-113.57944444444445,53.31,3012216.2015.1.30,0,5.2,3012216,2015,5.2,,35,,6,0,,-4.4,-13.1,,,30,,,2015-01-30 00:00:00,EDMONTON INTL A,2,26.8,1,AB,,,,,,,,,-8.8
-113.57944444444445,53.31,3012216.2015.1.31,0,1.6,3012216,2015,1.6,,0,,14,0,,-13.1,-19.3,,,31,,,2015-01-31 00:00:00,EDMONTON INTL A,0,34.2,1,AB,,,,,,,,,-16.2
-113.57944444444445,53.31,3012216.2015.2.1,0,0,3012216,2015,0,,0,T,15,0,,-14.1,-24.9,,,1,,,2015-02-01 00:00:00,EDMONTON INTL A,0,37.5,2,AB,,,,,,T,,,-19.5
-113.57944444444445,53.31,3012216.2015.2.2,0,2,3012216,2015,2,,0,,14,0,,-14.8,-17.3,,,2,,,2015-02-02 00:00:00,EDMONTON INTL A,0,34.1,2,AB,,,,,,,,,-16.1
-113.57944444444445,53.31,3012216.2015.2.3,0,0.4,3012216,2015,0.4,,0,,17,0,,-14,-28.4,,,3,,,2015-02-03 00:00:00,EDMONTON INTL A,0,39.2,2,AB,,,,,,,,,-21.2
-113.57944444444445,53.31,3012216.2015.2.4,0,0.2,3012216,2015,0.2,,0,,17,0,,-5.1,-25.5,,,4,,,2015-02-04 00:00:00,EDMONTON INTL A,0,33.3,2,AB,,,,,,,,,-15.3
-113.57944444444445,53.31,3012216.2015.2.5,0,7.6,3012216,2015,7.6,,41,,18,0,,-5.4,-17.2,,,5,,,2015-02-05 00:00:00,EDMONTON INTL A,7,29.3,2,AB,,,,,,,,,-11.3
-113.57944444444445,53.31,3012216.2015.2.6,0,0.2,3012216,2015,0.2,,44,,25,0,,-16.5,-18.2,,,6,,,2015-02-06 00:00:00,EDMONTON INTL A,11,35.4,2,AB,,,,,,,,,-17.4
-113.57944444444445,53.31,3012216.2015.2.7,0,0,3012216,2015,,,0,M,25,,M,-15.2,-18.7,,,7,,,2015-02-07 00:00:00,EDMONTON INTL A,0,35,2,AB,,,,,,T,,,-17
-113.57944444444445,53.31,3012216.2015.2.8,0,0,3012216,2015,0,,0,T,25,0,,-13.8,-22.1,,,8,,,2015-02-08 00:00:00,EDMONTON INTL A,0,36,2,AB,,,,,,T,,,-18
-113.57944444444445,53.31,3012216.2015.2.9,0,0.4,3012216,2015,0.2,,0,,25,,M,-14.4,-21.3,,,9,,,2015-02-09 00:00:00,EDMONTON INTL A,0,35.9,2,AB,,,,,,,,,-17.9
-113.57944444444445,53.31,3012216.2015.2.10,0,0,3012216,2015,0,,0,T,25,0,,-10.7,-19.1,,,10,,,2015-02-10 00:00:00,EDMONTON INTL A,0,32.9,2,AB,,,,,,T,,,-14.9
-113.57944444444445,53.31,3012216.2015.2.11,0,,3012216,2015,,,0,M,25,,M,-10.3,-16.1,,,11,,,2015-02-11 00:00:00,EDMONTON INTL A,0,31.2,2,AB,,,,,,M,,,-13.2
-113.57944444444445,53.31,3012216.2015.2.12,0,0,3012216,2015,0,,0,,25,0,,4,-11.4,,,12,,,2015-02-12 00:00:00,EDMONTON INTL A,0,21.7,2,AB,,,,,,,,,-3.7
-113.57944444444445,53.31,3012216.2015.2.13,0,0,3012216,2015,0.2,,52,,25,0.2,,3.1,-6.4,,,13,,,2015-02-13 00:00:00,EDMONTON INTL A,13,19.7,2,AB,,,,,,T,,,-1.7
-113.57944444444445,53.31,3012216.2015.2.14,0,0,3012216,2015,7.4,,54,,22,7.4,,1.1,-12.9,,,14,,,2015-02-14 00:00:00,EDMONTON INTL A,12,23.9,2,AB,,,,,,,,,-5.9
-113.57944444444445,53.31,3012216.2015.2.15,0,0,3012216,2015,0,,46,T,24,0,,3,-0.6,,,15,,,2015-02-15 00:00:00,EDMONTON INTL A,32,16.8,2,AB,,,,,,T,,,1.2
-113.57944444444445,53.31,3012216.2015.2.16,0,0.8,3012216,2015,0.6,,33,,27,0,,0.2,-15.1,,,16,,,2015-02-16 00:00:00,EDMONTON INTL A,3,25.5,2,AB,,,,,,,,,-7.5
-113.57944444444445,53.31,3012216.2015.2.17,0,0.6,3012216,2015,0.4,,0,,28,0,,-6.1,-22.3,,,17,,,2015-02-17 00:00:00,EDMONTON INTL A,0,32.2,2,AB,,,,,,,,,-14.2
-113.57944444444445,53.31,3012216.2015.2.18,0,0,3012216,2015,0,,0,T,26,0,,3.4,-6.5,,,18,,,2015-02-18 00:00:00,EDMONTON INTL A,0,19.6,2,AB,,,,,,T,,,-1.6
-113.57944444444445,53.31,3012216.2015.2.19,0,0,3012216,2015,0,,57,T,19,0,,6.6,-1.1,,,19,,,2015-02-19 00:00:00,EDMONTON INTL A,33,15.2,2,AB,,,,,,T,,,2.8
-113.57944444444445,53.31,3012216.2015.2.20,0,0,3012216,2015,0,,48,T,19,0,,3.1,-9.6,,,20,,,2015-02-20 00:00:00,EDMONTON INTL A,36,21.3,2,AB,,,,,,T,,,-3.3
-113.57944444444445,53.31,3012216.2015.2.21,0,0.6,3012216,2015,0.6,,32,,20,0,,-6.2,-22.1,,,21,,,2015-02-21 00:00:00,EDMONTON INTL A,6,32.2,2,AB,,,,,,,,,-14.2
-113.57944444444445,53.31,3012216.2015.2.22,0,0,3012216,2015,0,,0,,23,0,,-0.7,-21.1,,,22,,,2015-02-22 00:00:00,EDMONTON INTL A,0,28.9,2,AB,,,,,,,,,-10.9
-113.57944444444445,53.31,3012216.2015.2.23,0,0,3012216,2015,0,,33,,23,0,,6.8,-2.4,,,23,,,2015-02-23 00:00:00,EDMONTON INTL A,27,15.8,2,AB,,,,,,,,,2.2
-113.57944444444445,53.31,3012216.2015.2.24,0,0.8,3012216,2015,0.8,,69,,23,0,,6.2,-7.2,,,24,,,2015-02-24 00:00:00,EDMONTON INTL A,32,18.5,2,AB,,,,,,,,,-0.5
-113.57944444444445,53.31,3012216.2015.2.25,0,0.6,3012216,2015,0.6,,44,,17,0,,-7.3,-20.8,,,25,,,2015-02-25 00:00:00,EDMONTON INTL A,2,32.1,2,AB,,,,,,,,,-14.1
-113.57944444444445,53.31,3012216.2015.2.26,0,0,3012216,2015,0,,37,,17,0,,-9.7,-21.6,,,26,,,2015-02-26 00:00:00,EDMONTON INTL A,15,33.7,2,AB,,,,,,,,,-15.7
-113.57944444444445,53.31,3012216.2015.2.27,0,0.8,3012216,2015,0.8,,0,,17,0,,-9.1,-18.1,,,27,,,2015-02-27 00:00:00,EDMONTON INTL A,0,31.6,2,AB,,,,,,,,,-13.6
-113.57944444444445,53.31,3012216.2015.2.28,0,0,3012216,2015,0,,43,T,17,0,,-2.5,-18.8,,,28,,,2015-02-28 00:00:00,EDMONTON INTL A,33,28.7,2,AB,,,,,,T,,,-10.7
-113.57944444444445,53.31,3012216.2015.3.1,0,0,3012216,2015,0,,37,T,17,0,,-2.5,-19.6,,,1,,,2015-03-01 00:00:00,EDMONTON INTL A,15,29.1,3,AB,,,,,,T,,,-11.1
-113.57944444444445,53.31,3012216.2015.3.2,0,1.4,3012216,2015,1,,69,,18,0,,-1.5,-15.8,,,2,,,2015-03-02 00:00:00,EDMONTON INTL A,35,26.7,3,AB,,,,,,,,,-8.7
-113.57944444444445,53.31,3012216.2015.3.3,0,0,3012216,2015,0,,48,,19,0,,-9.3,-23.5,,,3,,,2015-03-03 00:00:00,EDMONTON INTL A,32,34.4,3,AB,,,,,,,,,-16.4
-113.57944444444445,53.31,3012216.2015.3.4,0,0,3012216,2015,0,,32,,19,0,,-5.2,-23.5,,,4,,,2015-03-04 00:00:00,EDMONTON INTL A,18,32.4,3,AB,,,,,,,,,-14.4
-113.57944444444445,53.31,3012216.2015.3.5,0,0,3012216,2015,0,,0,,,0,,4.2,-11.2,,,5,,,2015-03-05 00:00:00,EDMONTON INTL A,0,21.5,3,AB,,,,,,,,,-3.5
-113.57944444444445,53.31,3012216.2015.3.6,0,0,3012216,2015,0,,65,T,16,0,,5.8,-3.4,,,6,,,2015-03-06 00:00:00,EDMONTON INTL A,32,16.8,3,AB,,,,,,T,,,1.2
-113.57944444444445,53.31,3012216.2015.3.7,0,0,3012216,2015,0,,0,,12,0,,4.4,-6.1,,,7,,,2015-03-07 00:00:00,EDMONTON INTL A,0,18.9,3,AB,,,,,,,,,-0.9
-113.57944444444445,53.31,3012216.2015.3.8,0,0,3012216,2015,0,,0,,11,0,,5.1,-6.2,,,8,,,2015-03-08 00:00:00,EDMONTON INTL A,0,18.6,3,AB,,,,,,,,,-0.6
-113.57944444444445,53.31,3012216.2015.3.9,0,0,3012216,2015,0,,59,T,10,0,T,6.8,-2.1,,,9,,,2015-03-09 00:00:00,EDMONTON INTL A,32,15.6,3,AB,,,,,,,,,2.4
-113.57944444444445,53.31,3012216.2015.3.10,0,0,3012216,2015,0,,0,,7,0,,2.9,-2.6,,,10,,,2015-03-10 00:00:00,EDMONTON INTL A,0,17.8,3,AB,,,,,,,,,0.2
-113.57944444444445,53.31,3012216.2015.3.11,0,0,3012216,2015,1,,33,,7,1,,3.3,-2.6,,,11,,,2015-03-11 00:00:00,EDMONTON INTL A,14,17.6,3,AB,,,,,,,,,0.4
-113.57944444444445,53.31,3012216.2015.3.12,0,0,3012216,2015,0,,0,T,5,0,T,10.2,-2.6,,,12,,,2015-03-12 00:00:00,EDMONTON INTL A,0,14.2,3,AB,,,,,,,,,3.8
-113.57944444444445,53.31,3012216.2015.3.13,0,0,3012216,2015,0,,32,,5,0,,10.2,0.3,,,13,,,2015-03-13 00:00:00,EDMONTON INTL A,17,12.7,3,AB,,,,,,,,,5.3
-113.57944444444445,53.31,3012216.2015.3.14,0,,3012216,2015,0,E,,,4,,M,13.6,1.8,M,,14,,E,2015-03-14 00:00:00,EDMONTON INTL A,,10.3,3,AB,E,,,E,,M,E,M,7.7
-113.57944444444445,53.31,3012216.2015.3.15,0,0,3012216,2015,0,,50,T,0,0,,6.2,-1,,,15,,,2015-03-15 00:00:00,EDMONTON INTL A,32,15.4,3,AB,,,,,T,T,,,2.6
-113.57944444444445,53.31,3012216.2015.3.16,0,0,3012216,2015,0,,33,T,0,0,,5.2,-5.6,,,16,,,2015-03-16 00:00:00,EDMONTON INTL A,21,18.2,3,AB,,,,,T,T,,,-0.2
-113.57944444444445,53.31,3012216.2015.3.17,0,0,3012216,2015,0,,35,,0,0,,6.3,-7.4,,,17,,,2015-03-17 00:00:00,EDMONTON INTL A,18,18.6,3,AB,,,,,T,,,,-0.6
-113.57944444444445,53.31,3012216.2015.3.18,0,0,3012216,2015,0,,0,,0,0,,10.5,-4.3,,,18,,,2015-03-18 00:00:00,EDMONTON INTL A,0,14.9,3,AB,,,,,T,,,,3.1
-113.57944444444445,53.31,3012216.2015.3.19,0,0.2,3012216,2015,0.2,,0,,0,0,,4.7,-4.1,,,19,,,2015-03-19 00:00:00,EDMONTON INTL A,0,17.7,3,AB,,,,,T,,,,0.3
-113.57944444444445,53.31,3012216.2015.3.20,0,6.6,3012216,2015,4.8,,48,,6,0,,-1.1,-3.9,,,20,,,2015-03-20 00:00:00,EDMONTON INTL A,11,20.5,3,AB,,,,,,,,,-2.5
-113.57944444444445,53.31,3012216.2015.3.21,0,4.2,3012216,2015,4.2,,46,,6,0,,-3.3,-6.8,,,21,,,2015-03-21 00:00:00,EDMONTON INTL A,11,23.1,3,AB,,,,,,,,,-5.1
-113.57944444444445,53.31,3012216.2015.3.22,0,0,3012216,2015,10,,0,,17,10,,-2.3,-14.7,,,22,,,2015-03-22 00:00:00,EDMONTON INTL A,0,26.5,3,AB,,,,,,,,,-8.5
-113.57944444444445,53.31,3012216.2015.3.23,0,1,3012216,2015,0.2,,0,,17,0,,-1.8,-15.5,,,23,,,2015-03-23 00:00:00,EDMONTON INTL A,0,26.7,3,AB,,,,,,,,,-8.7
-113.57944444444445,53.31,3012216.2015.3.24,0,0,3012216,2015,0,,0,,16,0,,0.2,-8.7,,,24,,,2015-03-24 00:00:00,EDMONTON INTL A,0,22.3,3,AB,,,,,,,,,-4.3
-113.57944444444445,53.31,3012216.2015.3.25,0,0,3012216,2015,0,,0,,16,0,,5.7,-9.7,,,25,,,2015-03-25 00:00:00,EDMONTON INTL A,0,20,3,AB,,,,,,,,,-2
-113.57944444444445,53.31,3012216.2015.3.26,0,0,3012216,2015,0.2,,0,,6,0.2,,8.2,-2.4,,,26,,,2015-03-26 00:00:00,EDMONTON INTL A,0,15.1,3,AB,,,,,,,,,2.9
-113.57944444444445,53.31,3012216.2015.3.27,0,0,3012216,2015,0,,0,,2,0,,15.1,-1.7,,,27,,,2015-03-27 00:00:00,EDMONTON INTL A,0,11.3,3,AB,,,,,,,,,6.7
-113.57944444444445,53.31,3012216.2015.3.28,0,0,3012216,2015,0,,52,T,0,0,T,9,-1.2,,,28,,,2015-03-28 00:00:00,EDMONTON INTL A,30,14.1,3,AB,,,,,,,,,3.9
-113.57944444444445,53.31,3012216.2015.3.29,0,0,3012216,2015,0,,52,T,,0,T,14.2,-3.8,,,29,,,2015-03-29 00:00:00,EDMONTON INTL A,30,12.8,3,AB,,,,,,,,,5.2
-113.57944444444445,53.31,3012216.2015.3.30,0,0,3012216,2015,0,,37,,,0,,13,-2.6,,,30,,,2015-03-30 00:00:00,EDMONTON INTL A,19,12.8,3,AB,,,,,,,,,5.2
-113.57944444444445,53.31,3012216.2015.3.31,0,0,3012216,2015,0.4,,82,,,0.4,,18.1,-1.7,,,31,,,2015-03-31 00:00:00,EDMONTON INTL A,29,9.8,3,AB,,,,,,,,,8.2
-113.57944444444445,53.31,3012216.2015.4.1,0,9.6,3012216,2015,9.6,,74,,1,0,,3,-0.7,,,1,,,2015-04-01 00:00:00,EDMONTON INTL A,28,16.8,4,AB,,,,,,,,,1.2
-113.57944444444445,53.31,3012216.2015.4.2,0,0,3012216,2015,0,,37,T,4,0,,4.4,-4.7,,,2,,,2015-04-02 00:00:00,EDMONTON INTL A,33,18.2,4,AB,,,,,,T,,,-0.2
-113.57944444444445,53.31,3012216.2015.4.3,0,0,3012216,2015,0,,37,,0,0,,8.1,-7,,,3,,,2015-04-03 00:00:00,EDMONTON INTL A,36,17.4,4,AB,,,,,T,,,,0.6
-113.57944444444445,53.31,3012216.2015.4.4,0,0.8,3012216,2015,0.6,,0,,0,0,,3.8,-4.1,,,4,,,2015-04-04 00:00:00,EDMONTON INTL A,0,18.2,4,AB,,,,,T,,,,-0.2
-113.57944444444445,53.31,3012216.2015.4.5,0,0,3012216,2015,0,,0,,,0,,4.8,-7.7,,,5,,,2015-04-05 00:00:00,EDMONTON INTL A,0,19.5,4,AB,,,,,,,,,-1.5
-113.57944444444445,53.31,3012216.2015.4.6,0,0,3012216,2015,0,,54,,,0,,5.5,-6.6,,,6,,,2015-04-06 00:00:00,EDMONTON INTL A,14,18.6,4,AB,,,,,,,,,-0.6
-113.57944444444445,53.31,3012216.2015.4.7,0,0,3012216,2015,0,,0,T,0,0,,8.9,-2.1,,,7,,,2015-04-07 00:00:00,EDMONTON INTL A,0,14.6,4,AB,,,,,,T,,,3.4
-113.57944444444445,53.31,3012216.2015.4.8,0,0,3012216,2015,0,,39,,,0,,12.7,-8,,,8,,,2015-04-08 00:00:00,EDMONTON INTL A,30,15.6,4,AB,,,,,,,,,2.4
-113.57944444444445,53.31,3012216.2015.4.9,0,0,3012216,2015,0,,0,,,0,,17.3,-4.9,,,9,,,2015-04-09 00:00:00,EDMONTON INTL A,0,11.8,4,AB,,,,,,,,,6.2
-113.57944444444445,53.31,3012216.2015.4.10,0,0,3012216,2015,0,,44,,,0,,18.6,-5.3,,,10,,,2015-04-10 00:00:00,EDMONTON INTL A,18,11.3,4,AB,,,,,,,,,6.7
-113.57944444444445,53.31,3012216.2015.4.11,0,0,3012216,2015,0,,78,T,,0,,14.5,-4.4,,,11,,,2015-04-11 00:00:00,EDMONTON INTL A,30,12.9,4,AB,,,,,,T,,,5.1
-113.57944444444445,53.31,3012216.2015.4.12,0,,3012216,2015,,,0,M,,,M,9.6,-5.3,,,12,,,2015-04-12 00:00:00,EDMONTON INTL A,0,15.8,4,AB,,,,,,M,,,2.2
-113.57944444444445,53.31,3012216.2015.4.13,0,0,3012216,2015,0,,39,,,0,,12.7,-6.5,,,13,,,2015-04-13 00:00:00,EDMONTON INTL A,23,14.9,4,AB,,,,,,,,,3.1
-113.57944444444445,53.31,3012216.2015.4.14,0,0,3012216,2015,0,,50,,,0,,10.8,1.8,,,14,,,2015-04-14 00:00:00,EDMONTON INTL A,34,11.7,4,AB,,,,,,,,,6.3
-113.57944444444445,53.31,3012216.2015.4.15,0,0,3012216,2015,0,,44,,,0,,14.1,-4.8,,,15,,,2015-04-15 00:00:00,EDMONTON INTL A,30,13.3,4,AB,,,,,,,,,4.7
-113.57944444444445,53.31,3012216.2015.4.16,0,0,3012216,2015,0,,52,,,0,,19.6,-4.1,,,16,,,2015-04-16 00:00:00,EDMONTON INTL A,27,10.2,4,AB,,,,,,,,,7.8
-113.57944444444445,53.31,3012216.2015.4.17,0,0,3012216,2015,0.6,,65,,,0.6,,18.5,-5.2,,,17,,,2015-04-17 00:00:00,EDMONTON INTL A,32,11.3,4,AB,,,,,,,,,6.7
-113.57944444444445,53.31,3012216.2015.4.18,0,0,3012216,2015,0,,69,T,,0,T,12.2,-7.2,,,18,,,2015-04-18 00:00:00,EDMONTON INTL A,36,15.5,4,AB,,,,,,,,,2.5
-113.57944444444445,53.31,3012216.2015.4.19,0,0,3012216,2015,0,,39,,,0,,13.9,-7.1,,,19,,,2015-04-19 00:00:00,EDMONTON INTL A,29,14.6,4,AB,,,,,,,,,3.4
-113.57944444444445,53.31,3012216.2015.4.20,0,0,3012216,2015,0,,46,,,0,,19,-7.1,,,20,,,2015-04-20 00:00:00,EDMONTON INTL A,33,12,4,AB,,,,,,,,,6
-113.57944444444445,53.31,3012216.2015.4.21,0,0,3012216,2015,0,,35,,,0,,22,0.4,,,21,,,2015-04-21 00:00:00,EDMONTON INTL A,12,6.8,4,AB,,,,,,,,,11.2
-113.57944444444445,53.31,3012216.2015.4.22,0,0,3012216,2015,0.8,,72,,,0.8,,22.4,2.4,,,22,,,2015-04-22 00:00:00,EDMONTON INTL A,13,5.6,4,AB,,,,,,,,,12.4
-113.57944444444445,53.31,3012216.2015.4.23,0,0,3012216,2015,0.2,,50,,,0.2,,10,-4.2,,,23,,,2015-04-23 00:00:00,EDMONTON INTL A,30,15.1,4,AB,,,,,,,,,2.9
-113.57944444444445,53.31,3012216.2015.4.24,0,0,3012216,2015,0,,37,T,,0,,6.3,-4.8,,,24,,,2015-04-24 00:00:00,EDMONTON INTL A,7,17.2,4,AB,,,,,,T,,,0.8
-113.57944444444445,53.31,3012216.2015.4.25,0,2.8,3012216,2015,2.8,,33,,2,0,,4.7,-5,,,25,,,2015-04-25 00:00:00,EDMONTON INTL A,8,18.2,4,AB,,,,,,,,,-0.2
-113.57944444444445,53.31,3012216.2015.4.26,0,0,3012216,2015,0,,37,,,0,,7.6,-10.7,,,26,,,2015-04-26 00:00:00,EDMONTON INTL A,15,19.6,4,AB,,,,,,,,,-1.6
-113.57944444444445,53.31,3012216.2015.4.27,0,0,3012216,2015,0,,43,,,0,,19,-4,,,27,,,2015-04-27 00:00:00,EDMONTON INTL A,17,10.5,4,AB,,,,,,,,,7.5
