Year,Dwelling units,Population
2001,275816,684092
2002,277749,699229
2003,287495,710000
2004,291111,720652
2005,311663,737596
2006,314362,758721
2007,314177,778434
2008,321747,796176
2009,323300,817073
2010,328867,830604
2011,341674,844981
2012,348140,864734
2013,356063,892692
2014,389527,923355
2015,389527,944268
2016,387950,964639
2017,387950,983238
2018,387950,1002920
2019,387950,1026499
2020,387950,1046556
2021,387950,1050945
2022,428857,1073761
2023,428857,1128811
