x,y,STATION_PRESSURE_FLAG,UTC_YEAR,WIND_SPEED_FLAG,WEATHER_ENG_DESC,UTC_MONTH,VISIBILITY,HUMIDEX,LOCAL_HOUR,TEMP,WIND_DIRECTION,WEATHER_FRE_DESC,UTC_DAY,ID,WINDCHILL,LOCAL_YEAR,LOCAL_DATE,UTC_DATE,RELATIVE_HUMIDITY,PRECIP_AMOUNT_FLAG,WINDCHILL_FLAG,CLIMATE_IDENTIFIER,DEW_POINT_TEMP,PROVINCE_CODE,LOCAL_DAY,PRECIP_AMOUNT,WIND_SPEED,VISIBILITY_FLAG,HUMIDEX_FLAG,TEMP_FLAG,STATION_PRESSURE,WIND_DIRECTION_FLAG,RELATIVE_HUMIDITY_FLAG,DEW_POINT_TEMP_FLAG,STATION_NAME,LOCAL_MONTH
-114.01333333333334,51.1225,,2024,,NA,5,24.1,,21,18.2,20,ND,29,3031092.2024.5.28.21,,2024,2024-05-28 21:00:00,2024-05-29T04:00:00,40,,,3031092,4.5,AB,28,,28,,,,88.23,,,,CALGARY INTL A,5
-114.01333333333334,51.1225,,2024,,NA,5,24.1,,22,15.7,16,ND,29,3031092.2024.5.28.22,,2024,2024-05-28 22:00:00,2024-05-29T05:00:00,53,,,3031092,6.2,AB,28,,20,,,,88.16,,,,CALGARY INTL A,5
-114.01333333333334,51.1225,,2024,,Mostly Cloudy,5,24.1,,23,15.0,14,Généralement nuageux,29,3031092.2024.5.28.23,,2024,2024-05-28 23:00:00,2024-05-29T06:00:00,58,,,3031092,7.0,AB,28,,17,,,,88.12,,,,CALGARY INTL A,5
-114.01333333333334,51.1225,,2024,,NA,5,24.1,,0,14.7,19,ND,29,3031092.2024.5.29.0,,2024,2024-05-29 00:00:00,2024-05-29T07:00:00,49,,,3031092,4.2,AB,29,,5,,,,88.13,,,,CALGARY INTL A,5
-114.01333333333334,51.1225,,2024,,NA,5,24.1,,1,14.9,36,ND,29,3031092.2024.5.29.1,,2024,2024-05-29 01:00:00,2024-05-29T08:00:00,45,,,3031092,3.1,AB,29,,3,,,,88.14,,,,CALGARY INTL A,5
-114.01333333333334,51.1225,,2024,,Mainly Clear,5,24.1,,2,14.0,27,Généralement dégagé,29,3031092.2024.5.29.2,,2024,2024-05-29 02:00:00,2024-05-29T09:00:00,48,,,3031092,3.1,AB,29,,15,,,,88.17,,,,CALGARY INTL A,5
-114.01333333333334,51.1225,,2024,,NA,5,24.1,,3,13.0,23,ND,29,3031092.2024.5.29.3,,2024,2024-05-29 03:00:00,2024-05-29T10:00:00,50,,,3031092,2.8,AB,29,,13,,,,88.18,,,,CALGARY INTL A,5
-114.01333333333334,51.1225,,2024,,NA,5,24.1,,4,12.6,28,ND,29,3031092.2024.5.29.4,,2024,2024-05-29 04:00:00,2024-05-29T11:00:00,49,,,3031092,2.3,AB,29,,22,,,,88.19,,,,CALGARY INTL A,5
-114.01333333333334,51.1225,,2024,,Mostly Cloudy,5,32.2,,5,12.2,29,Généralement nuageux,29,3031092.2024.5.29.5,,2024,2024-05-29 05:00:00,2024-05-29T12:00:00,47,,,3031092,1.2,AB,29,,9,,,,88.25,,,,CALGARY INTL A,5
-114.01333333333334,51.1225,,2024,,NA,5,24.1,,6,12.4,28,ND,29,3031092.2024.5.29.6,,2024,2024-05-29 06:00:00,2024-05-29T13:00:00,42,,,3031092,-0.1,AB,29,,19,,,,88.32,,,,CALGARY INTL A,5
